,asli,tanpa_stopword,lemmatized
14,"['thousands', 'of', 'patients', 'are', 'still', 'being', 'treated', 'and', 'we', 'do', 'not', 'know', 'if', 'any', 'of', 'those', 'cases', 'will', 'die', 'so', 'the', 'death', 'rate', 'could', 'be', 'higher']","['thousands', 'patients', 'still', 'treated', 'know', 'cases', 'die', 'death', 'rate', 'could', 'higher']","['thousand', 'patient', 'still', 'treated', 'know', 'case', 'die', 'death', 'rate', 'could', 'higher']"
15,"['and', 'it', 'is', 'unclear', 'how', 'many', 'unreported', 'mild', 'cases', 'are', 'out', 'there', 'so', 'the', 'death', 'rate', 'could', 'also', 'be', 'lower']","['unclear', 'many', 'unreported', 'mild', 'cases', 'death', 'rate', 'could', 'also', 'lower']","['unclear', 'many', 'unreported', 'mild', 'case', 'death', 'rate', 'could', 'also', 'lower']"
16,"['the', 'world', 'health', 'organization', 'has', 'the', 'following', 'advice', 'which', 'apply', 'to', 'many', 'other', 'respiratory', 'diseases', 'too']","['world', 'health', 'organization', 'following', 'advice', 'apply', 'many', 'respiratory', 'diseases']","['world', 'health', 'organization', 'following', 'advice', 'apply', 'many', 'respiratory', 'disease']"
17,"['this', 'virus', 'is', 'not', 'really', 'new', 'it', 'is', 'just', 'new', 'to', 'humans', 'having', 'jumped', 'from', 'one', 'species', 'to', 'another']","['virus', 'really', 'new', 'new', 'humans', 'jumped', 'one', 'species', 'another']","['virus', 'really', 'new', 'new', 'human', 'jumped', 'one', 'specie', 'another']"
18,"['if', 'we', 'think', 'about', 'outbreaks', 'in', 'the', 'past', 'if', 'it', 'is', 'a', 'new', 'coronavirus', 'it', 'will', 'have', 'come', 'from', 'an', 'animal', 'reservoir', 'says', 'prof', 'jonathan', 'ball', 'a', 'virologist', 'at', 'the', 'university', 'of', 'nottingham']","['think', 'outbreaks', 'past', 'new', 'coronavirus', 'come', 'animal', 'reservoir', 'says', 'prof', 'jonathan', 'ball', 'virologist', 'university', 'nottingham']","['think', 'outbreak', 'past', 'new', 'coronavirus', 'come', 'animal', 'reservoir', 'say', 'prof', 'jonathan', 'ball', 'virologist', 'university', 'nottingham']"
19,"['many', 'of', 'the', 'early', 'coronavirus', 'cases', 'were', 'linked', 'to', 'the', 'south', 'china', 'seafood', 'wholesale', 'market', 'in', 'wuhan']","['many', 'early', 'coronavirus', 'cases', 'linked', 'south', 'china', 'seafood', 'wholesale', 'market', 'wuhan']","['many', 'early', 'coronavirus', 'case', 'linked', 'south', 'china', 'seafood', 'wholesale', 'market', 'wuhan']"
20,"['sars', 'started', 'off', 'in', 'bats', 'and', 'then', 'infected', 'the', 'civet', 'cat', 'which', 'in', 'turn', 'passed', 'it', 'on', 'to', 'humans']","['sars', 'started', 'bats', 'infected', 'civet', 'cat', 'turn', 'passed', 'humans']","['sars', 'started', 'bat', 'infected', 'civet', 'cat', 'turn', 'passed', 'human']"
21,"['and', 'middle', 'east', 'respiratory', 'syndrome', 'mers', 'which', 'has', 'killed', '858', 'out', 'of', 'the', '2', '494', 'recorded', 'cases', 'since', 'it', 'emerged', 'in', '2012', 'regularly', 'makes', 'the', 'jump', 'from', 'the', 'dromedary', 'camel']","['middle', 'east', 'respiratory', 'syndrome', 'mers', 'killed', '858', '2', '494', 'recorded', 'cases', 'since', 'emerged', '2012', 'regularly', 'makes', 'jump', 'dromedary', 'camel']","['middle', 'east', 'respiratory', 'syndrome', 'mers', 'killed', '858', '2', '494', 'recorded', 'case', 'since', 'emerged', '2012', 'regularly', 'make', 'jump', 'dromedary', 'camel']"
22,"['while', 'some', 'sea', 'going', 'mammals', 'can', 'carry', 'coronaviruses', 'such', 'as', 'the', 'beluga', 'whale', 'the', 'south', 'china', 'seafood', 'wholesale', 'market', 'also', 'had', 'live', 'wild', 'animals', 'including', 'chickens', 'rabbits', 'snakes', 'which', 'are', 'more', 'likely', 'to', 'be', 'the', 'source']","['sea', 'going', 'mammals', 'carry', 'coronaviruses', 'beluga', 'whale', 'south', 'china', 'seafood', 'wholesale', 'market', 'also', 'live', 'wild', 'animals', 'including', 'chickens', 'rabbits', 'snakes', 'likely', 'source']","['sea', 'going', 'mammal', 'carry', 'coronaviruses', 'beluga', 'whale', 'south', 'china', 'seafood', 'wholesale', 'market', 'also', 'live', 'wild', 'animal', 'including', 'chicken', 'rabbit', 'snake', 'likely', 'source']"
23,"['the', 'new', 'virus', 'is', 'closely', 'related', 'to', 'one', 'found', 'in', 'chinese', 'horseshoe', 'bats']","['new', 'virus', 'closely', 'related', 'one', 'found', 'chinese', 'horseshoe', 'bats']","['new', 'virus', 'closely', 'related', 'one', 'found', 'chinese', 'horseshoe', 'bat']"
